Energy usage in GWh. Source: www.seai.ie/data-and-insights/seai-statistics/energy-data/,,,,,,,
Year,Coal,Electricity,Natural Gas,Non-Renewable  Waste,Oil,Peat,Renewables
1990,9800,11870,6625,0,45959,8803,1254
1991,10658,12467,7578,0,47150,7568,1205
1992,6812,13209,7770,0,48673,7660,1068
1993,7095,13555,8883,0,50386,7281,1088
1994,4535,14157,8984,0,55427,7233,1086
1995,3692,14854,9271,0,56796,7113,1069
1996,5669,15856,10136,0,58327,5801,1143
1997,4275,16719,10150,0,62799,5494,1120
1998,4629,17701,11232,0,68416,5469,1362
1999,3799,18857,12071,0,75823,3817,1278
2000,4634,20292,13990,0,81958,3525,1368
2001,4572,21028,14383,0,86085,3396,1510
2002,4351,21772,13949,0,86522,3412,1514
2003,5129,23036,14885,0,87580,3154,1481
2004,5253,23061,15737,0,89631,3103,1731
2005,5633,24356,15923,0,95325,3186,2190
2006,4980,25882,17092,0,96997,3306,2288
2007,4892,25867,16890,0,99373,3164,2537
2008,4902,26680,18118,0,97561,3260,2870
2009,4413,25274,16995,150,85993,3173,3282
2010,4268,25427,18487,99,83255,2954,3615
2011,3812,24879,17512,165,76146,2811,3586
2012,3943,24169,18892,318,70802,2504,3472
2013,4132,24208,18973,448,72142,2540,3853
2014,3791,24141,18831,483,71684,2334,4415
2015,3629,25076,19945,511,75364,2342,4648
2016,3318,25578,20862,485,78290,2300,4658
2017,2919,26005,21208,661,78794,2199,5343
2018,3031,27148,22661,636,82164,2295,5395
